epoch;accuracy;loss;lr;precision;val_accuracy;val_loss;val_precision
0;0.48255813121795654;1.1097991466522217;0.001;0.5364963412284851;0.574999988079071;1.4251571893692017;0.8260869383811951
1;0.5813953280448914;0.9175629019737244;0.001;0.6754717230796814;0.15000000596046448;3.4954371452331543;0.1304347813129425
2;0.6598837375640869;0.7723577618598938;0.001;0.6824324131011963;0.15000000596046448;1.7755110263824463;0.10810811072587967
3;0.6424418687820435;0.7591086030006409;0.001;0.6775244474411011;0.5;2.7885797023773193;0.5
4;0.6889534592628479;0.683344841003418;0.001;0.7313916087150574;0.5;2.435380220413208;0.4871794879436493
5;0.7034883499145508;0.7560724020004272;0.001;0.7225806713104248;0.20000000298023224;1.882293939590454;0.20000000298023224
6;0.6889534592628479;0.7184959053993225;0.001;0.7111801505088806;0.125;3.493983507156372;0.125
7;0.7093023061752319;0.6564215421676636;0.001;0.731249988079071;0.574999988079071;3.286705732345581;0.574999988079071
8;0.7616279125213623;0.51920485496521;0.001;0.7710843086242676;0.550000011920929;3.8382935523986816;0.550000011920929
9;0.7790697813034058;0.4924265444278717;0.001;0.802395224571228;0.675000011920929;2.077824592590332;0.675000011920929
10;0.729651153087616;0.6018056869506836;0.001;0.7417417168617249;0.699999988079071;2.153062343597412;0.699999988079071
11;0.7354651093482971;0.5891233682632446;0.001;0.7607361674308777;0.4000000059604645;3.0991368293762207;0.4000000059604645
12;0.8139534592628479;0.46179306507110596;0.001;0.8273809552192688;0.17499999701976776;5.131870269775391;0.17499999701976776
13;0.7848837375640869;0.47006434202194214;0.001;0.7910447716712952;0.22499999403953552;2.92639422416687;0.22499999403953552
0;0.34302327036857605;1.3871326446533203;0.001;0.41333332657814026;0.4749999940395355;0.9976276159286499;0.6875
1;0.2732558250427246;1.1070157289505005;0.001;0.4150943458080292;0.4000000059604645;1.2079159021377563;0.6470588445663452
2;0.680232584476471;0.9106273055076599;0.001;0.8125;0.4000000059604645;1.7885398864746094;0.6470588445663452
3;0.447674423456192;0.8522999882698059;0.001;0.6074766516685486;0.4000000059604645;3.4504294395446777;0.6111111044883728
4;0.6220930218696594;0.7746716737747192;0.001;0.7131147384643555;0.375;2.5994019508361816;0.6470588445663452
5;0.5872092843055725;0.7432423233985901;0.001;0.7263157963752747;0.32499998807907104;3.1436548233032227;0.6470588445663452
6;0.604651153087616;0.7574355602264404;0.001;0.6991150379180908;0.42500001192092896;2.309457302093506;0.6470588445663452
7;0.7441860437393188;0.6528212428092957;0.001;0.8028169274330139;0.6000000238418579;1.5457462072372437;0.6470588445663452
8;0.6918604373931885;0.7410682439804077;0.001;0.6891891956329346;0.550000011920929;1.7494739294052124;0.7058823704719543
9;0.5116279125213623;0.7549726963043213;0.001;0.5337837934494019;0.675000011920929;3.5860512256622314;0.800000011920929
10;0.7906976938247681;0.6856383681297302;0.001;0.8823529481887817;0.675000011920929;4.448657512664795;0.8125
11;0.5930232405662537;0.6945987939834595;0.001;0.6056337952613831;0.675000011920929;3.0200681686401367;0.774193525314331
12;0.7616279125213623;0.6440625786781311;0.001;0.818791925907135;0.6499999761581421;3.2965304851531982;0.75
13;0.569767415523529;0.6071347594261169;0.001;0.5714285969734192;0.675000011920929;2.816805124282837;0.7272727489471436
14;0.7151162624359131;0.5649263858795166;0.001;0.746666669845581;0.675000011920929;2.5860257148742676;0.7352941036224365
15;0.6976743936538696;0.5698503851890564;0.001;0.7030302882194519;0.75;2.4116265773773193;0.8125
16;0.680232584476471;0.5635626912117004;0.001;0.6890243887901306;0.699999988079071;3.9030261039733887;0.699999988079071
17;0.7034883499145508;0.7504815459251404;0.001;0.7168674468994141;0.699999988079071;2.8837673664093018;0.699999988079071
18;0.5174418687820435;0.8391340374946594;0.001;0.5209580659866333;0.675000011920929;5.195690631866455;0.6756756901741028
19;0.6686046719551086;0.6856618523597717;0.001;0.7482014298439026;0.699999988079071;4.013442039489746;0.699999988079071
20;0.6104651093482971;0.65411776304245;0.001;0.7007299065589905;0.625;4.827816486358643;0.625
21;0.7441860437393188;0.59158855676651;0.001;0.7638888955116272;0.6499999761581421;3.7318806648254395;0.6499999761581421
22;0.5988371968269348;0.6286975741386414;0.001;0.625;0.6499999761581421;2.159755229949951;0.6499999761581421
23;0.7441860437393188;0.6677528023719788;0.001;0.800000011920929;0.675000011920929;2.3665051460266113;0.675000011920929
24;0.6511628031730652;0.5559903383255005;0.001;0.6800000071525574;0.675000011920929;4.252144813537598;0.675000011920929
25;0.6976743936538696;0.5229284763336182;0.001;0.7018633484840393;0.699999988079071;3.978020191192627;0.699999988079071
26;0.6569767594337463;0.63779616355896;0.001;0.673202633857727;0.7250000238418579;2.48066782951355;0.7058823704719543
27;0.6337209343910217;0.6106659770011902;0.001;0.6578947305679321;0.699999988079071;4.119333267211914;0.6944444179534912
28;0.7674418687820435;0.689481794834137;0.001;0.7852760553359985;0.625;3.1480345726013184;0.6486486196517944
29;0.6569767594337463;0.5174747705459595;0.001;0.6748466491699219;0.675000011920929;2.9437012672424316;0.6944444179534912
30;0.7674418687820435;0.6054629683494568;0.001;0.7791411280632019;0.625;5.194525718688965;0.6111111044883728
31;0.6744186282157898;0.772862434387207;0.001;0.6942675113677979;0.75;4.386496543884277;0.7435897588729858
32;0.6627907156944275;0.5804611444473267;0.001;0.6707317233085632;0.6499999761581421;2.4798805713653564;0.6666666865348816
33;0.7209302186965942;0.5990339517593384;0.001;0.7635135054588318;0.699999988079071;5.088693141937256;0.6842105388641357
34;0.7325581312179565;0.5634090304374695;0.001;0.7666666507720947;0.675000011920929;6.445859432220459;0.675000011920929
