epoch;loss;lr;mae;mse;val_loss;val_mae;val_mse
0;1.628633737564087;0.001;0.7272186279296875;1.628633737564087;0.10841425508260727;0.253493994474411;0.10841425508260727
1;0.09624958038330078;0.001;0.23564749956130981;0.09624958038330078;0.05666392296552658;0.1746823638677597;0.05666392296552658
2;0.09254918247461319;0.001;0.23057867586612701;0.09254918247461319;0.07260660827159882;0.18335749208927155;0.07260660827159882
3;0.0969831794500351;0.001;0.22404195368289948;0.0969831794500351;0.055135734379291534;0.16788385808467865;0.055135734379291534
4;0.07470495998859406;0.001;0.18970650434494019;0.07470495998859406;0.08410806208848953;0.2041667252779007;0.08410806208848953
5;0.0450199730694294;0.001;0.16201180219650269;0.0450199730694294;0.11120440810918808;0.23128695785999298;0.11120440810918808
6;0.044614896178245544;0.001;0.15015362203121185;0.044614896178245544;0.07903218269348145;0.20835687220096588;0.07903218269348145
7;0.03384219482541084;0.001;0.13423319160938263;0.03384219482541084;0.07455799728631973;0.1898793876171112;0.07455799728631973
8;0.03127497062087059;0.001;0.12326237559318542;0.03127497062087059;0.02958904393017292;0.1383223980665207;0.02958904393017292
9;0.023672999814152718;0.001;0.106136754155159;0.023672999814152718;0.030596882104873657;0.14336879551410675;0.030596882104873657
10;0.018759913742542267;0.001;0.0967373326420784;0.018759913742542267;0.040240414440631866;0.16710057854652405;0.040240414440631866
11;0.01729266718029976;0.001;0.09926558285951614;0.01729266718029976;0.021114898845553398;0.13598212599754333;0.021114898845553398
12;0.0157947838306427;0.001;0.09358934313058853;0.0157947838306427;0.02526100166141987;0.1418929100036621;0.02526100166141987
13;0.016532769426703453;0.001;0.09035401046276093;0.016532769426703453;0.018854787573218346;0.1272324025630951;0.018854787573218346
14;0.017580587416887283;0.001;0.08844183385372162;0.017580587416887283;0.017849523574113846;0.12221808731555939;0.017849523574113846
15;0.01717257685959339;0.001;0.09343112260103226;0.01717257685959339;0.027032053098082542;0.15177573263645172;0.027032053098082542
16;0.015784546732902527;0.001;0.09125392884016037;0.015784546732902527;0.019490957260131836;0.13058623671531677;0.019490957260131836
17;0.009176173247396946;0.001;0.07644989341497421;0.009176173247396946;0.024119783192873;0.14632663130760193;0.024119783192873
18;0.015524879097938538;0.001;0.07808803766965866;0.015524879097938538;0.02101094461977482;0.1325417011976242;0.02101094461977482
19;0.013911440968513489;0.001;0.08850295841693878;0.013911440968513489;0.01982284151017666;0.13132767379283905;0.01982284151017666
20;0.010752536356449127;0.001;0.06780621409416199;0.010752536356449127;0.02503751590847969;0.1498955339193344;0.02503751590847969
21;0.011511269956827164;0.001;0.07993349432945251;0.011511269956827164;0.00842059962451458;0.07585757225751877;0.00842059962451458
22;0.007974780164659023;0.001;0.07197817414999008;0.007974780164659023;0.00904865376651287;0.08124909549951553;0.00904865376651287
23;0.007900799624621868;0.001;0.06595709919929504;0.007900799624621868;0.01250382699072361;0.09911000728607178;0.01250382699072361
24;0.0066846939735114574;0.001;0.061936184763908386;0.0066846939735114574;0.008144115097820759;0.07584655284881592;0.008144115097820759
25;0.005769343115389347;0.001;0.05605413392186165;0.005769343115389347;0.013097025454044342;0.10349009931087494;0.013097025454044342
26;0.005262783262878656;0.001;0.050446949899196625;0.005262783262878656;0.005868591833859682;0.05981416627764702;0.005868591833859682
27;0.004059432074427605;0.001;0.050020188093185425;0.004059432074427605;0.006478844676166773;0.06452342122793198;0.006478844676166773
28;0.0049891285598278046;0.001;0.050232790410518646;0.0049891285598278046;0.004798877984285355;0.04975280910730362;0.004798877984285355
29;0.005444767884910107;0.001;0.04825911298394203;0.005444767884910107;0.006659057457000017;0.06495700031518936;0.006659057457000017
30;0.004946400877088308;0.001;0.04552685096859932;0.004946400877088308;0.003129486460238695;0.03616748005151749;0.003129486460238695
31;0.003602832555770874;0.001;0.044511403888463974;0.003602832555770874;0.004252271261066198;0.045675892382860184;0.004252271261066198
32;0.004250092897564173;0.001;0.04511406272649765;0.004250092897564173;0.003529504407197237;0.04140745475888252;0.003529504407197237
33;0.0034733954817056656;0.001;0.043570179492235184;0.0034733954817056656;0.004187766462564468;0.04872404783964157;0.004187766462564468
34;0.0031911402475088835;0.001;0.03938284143805504;0.0031911402475088835;0.0025427716318517923;0.03990691155195236;0.0025427716318517923
35;0.005519249942153692;0.001;0.053082723170518875;0.005519249942153692;0.006665174383670092;0.06681369245052338;0.006665174383670092
36;0.00396921020001173;0.001;0.04354644566774368;0.00396921020001173;0.002727809129282832;0.04052171856164932;0.002727809129282832
37;0.00489824777469039;0.001;0.049508072435855865;0.00489824777469039;0.0054676043801009655;0.05937793478369713;0.0054676043801009655
38;0.0033779842779040337;0.001;0.04326946288347244;0.0033779842779040337;0.003497304627671838;0.04829076677560806;0.003497304627671838
39;0.003232003189623356;0.001;0.04114919155836105;0.003232003189623356;0.0033640924375504255;0.048828549683094025;0.0033640924375504255
40;0.0034300340339541435;0.001;0.044259510934352875;0.0034300340339541435;0.002462680684402585;0.03892425075173378;0.002462680684402585
41;0.004345584660768509;0.001;0.04401884600520134;0.004345584660768509;0.004020352382212877;0.05387735739350319;0.004020352382212877
42;0.0025532953441143036;0.001;0.039440300315618515;0.0025532953441143036;0.002206583973020315;0.03595588728785515;0.002206583973020315
43;0.002209881553426385;0.001;0.03576061874628067;0.002209881553426385;0.0022970011923462152;0.0386025607585907;0.0022970011923462152
44;0.002347403671592474;0.001;0.034292470663785934;0.002347403671592474;0.0021889526396989822;0.03442002832889557;0.0021889526396989822
45;0.0037178550846874714;0.001;0.044227369129657745;0.0037178550846874714;0.00268783001229167;0.03833070769906044;0.00268783001229167
46;0.0021627203095704317;0.001;0.03532528132200241;0.0021627203095704317;0.0060236635617911816;0.06278590857982635;0.0060236635617911816
47;0.0022064915392547846;0.001;0.03498678281903267;0.0022064915392547846;0.0034378485288470984;0.04427060857415199;0.0034378485288470984
48;0.002515578642487526;0.001;0.03694496676325798;0.002515578642487526;0.008546756580471992;0.07901733368635178;0.008546756580471992
49;0.002910233335569501;0.001;0.03554486110806465;0.002910233335569501;0.005217087455093861;0.05503660440444946;0.005217087455093861
