epoch;loss;lr;mae;mse;val_loss;val_mae;val_mse
0;1.3878533840179443;0.001;0.9404069185256958;1.3878533840179443;0.03159593045711517;0.16048431396484375;0.03159593045711517
1;0.14683037996292114;0.001;0.30798274278640747;0.14683037996292114;0.025417886674404144;0.13762429356575012;0.025417886674404144
2;0.10880710929632187;0.001;0.2574606239795685;0.10880710929632187;0.01866433210670948;0.11359681189060211;0.01866433210670948
3;0.09557999670505524;0.001;0.23653273284435272;0.09557999670505524;0.01484420895576477;0.10028334707021713;0.01484420895576477
4;0.06479095667600632;0.001;0.19923320412635803;0.06479095667600632;0.013372523710131645;0.09620123356580734;0.013372523710131645
5;0.0422363355755806;0.001;0.1696798950433731;0.0422363355755806;0.009123120456933975;0.08154993504285812;0.009123120456933975
6;0.03726755082607269;0.001;0.1481337547302246;0.03726755082607269;0.005937694571912289;0.06497248262166977;0.005937694571912289
7;0.02764790505170822;0.001;0.12663868069648743;0.02764790505170822;0.006487244740128517;0.0654854029417038;0.006487244740128517
8;0.024775277823209763;0.001;0.13207639753818512;0.024775277823209763;0.00925130769610405;0.07756038010120392;0.00925130769610405
9;0.01921571046113968;0.001;0.10646248608827591;0.01921571046113968;0.018080085515975952;0.11432215571403503;0.018080085515975952
10;0.018634850159287453;0.001;0.10905592143535614;0.018634850159287453;0.03335253894329071;0.16816920042037964;0.03335253894329071
11;0.018126610666513443;0.001;0.107553631067276;0.018126610666513443;0.04334397241473198;0.1956218183040619;0.04334397241473198
12;0.018510131165385246;0.001;0.10603886842727661;0.018510131165385246;0.06875989586114883;0.2528194189071655;0.06875989586114883
13;0.012871639803051949;0.001;0.0841059610247612;0.012871639803051949;0.08906933665275574;0.2903469502925873;0.08906933665275574
14;0.015506643801927567;0.001;0.10053050518035889;0.015506643801927567;0.09274076670408249;0.29625287652015686;0.09274076670408249
15;0.015512279234826565;0.001;0.09530483186244965;0.015512279234826565;0.11349650472402573;0.3292182683944702;0.11349650472402573
16;0.01412420254200697;0.001;0.09041956812143326;0.01412420254200697;0.1603303700685501;0.3938367962837219;0.1603303700685501
17;0.016171220690011978;0.001;0.10073650628328323;0.016171220690011978;0.15686434507369995;0.38866525888442993;0.15686434507369995
18;0.010825611650943756;0.001;0.08536002039909363;0.010825611650943756;0.17410153150558472;0.4101405739784241;0.17410153150558472
19;0.01314068678766489;0.001;0.09402541071176529;0.013140685856342316;0.1923195868730545;0.4318419098854065;0.1923195868730545
20;0.006767248269170523;0.001;0.06648989766836166;0.006767248269170523;0.20691604912281036;0.4485539197921753;0.20691604912281036
21;0.008243219926953316;0.001;0.07241728156805038;0.008243219926953316;0.22068187594413757;0.46361488103866577;0.22068187594413757
22;0.008528064005076885;0.001;0.0748826339840889;0.008528064005076885;0.23642627894878387;0.4801080524921417;0.23642627894878387
23;0.00884756539016962;0.001;0.07426442205905914;0.00884756539016962;0.2613629102706909;0.505280613899231;0.2613629102706909
24;0.007744136266410351;0.001;0.06761123239994049;0.007744136266410351;0.27310577034950256;0.5167145729064941;0.27310577034950256
25;0.005105086136609316;0.001;0.05682668089866638;0.005105086136609316;0.3082650899887085;0.5498137474060059;0.3082650899887085
26;0.006246903445571661;0.001;0.062453825026750565;0.006246903445571661;0.2763556241989136;0.5198843479156494;0.2763556241989136
27;0.00894222129136324;0.001;0.07737037539482117;0.00894222129136324;0.2887784540653229;0.531764805316925;0.2887784540653229
28;0.008130836300551891;0.001;0.06839077919721603;0.008130836300551891;0.2869543135166168;0.5301105976104736;0.2869543135166168
29;0.005281990859657526;0.001;0.057840265333652496;0.005281990859657526;0.3209659159183502;0.561357319355011;0.3209659159183502
30;0.006207350641489029;0.001;0.06054459139704704;0.006207350641489029;0.281896710395813;0.5253385901451111;0.281896710395813
31;0.00953898299485445;0.001;0.07662398368120193;0.00953898299485445;0.2748747169971466;0.5186805129051208;0.2748747169971466
32;0.008380699902772903;0.001;0.07298851758241653;0.008380699902772903;0.32635819911956787;0.5663838386535645;0.32635819911956787
33;0.00958186574280262;0.001;0.07688415795564651;0.00958186574280262;0.3408162295818329;0.5791122317314148;0.3408162295818329
34;0.006346533074975014;0.001;0.06037641689181328;0.006346533074975014;0.2741697430610657;0.5184199810028076;0.2741697430610657
35;0.0059744990430772305;0.001;0.06014396995306015;0.0059744990430772305;0.28015434741973877;0.5244237184524536;0.28015434741973877
36;0.005229380447417498;0.001;0.05397115275263786;0.005229380447417498;0.2989196181297302;0.5421698689460754;0.2989196181297302
37;0.005241380073130131;0.001;0.053979840129613876;0.005241380073130131;0.27437862753868103;0.519042432308197;0.27437862753868103
38;0.0052109030075371265;0.001;0.059300780296325684;0.0052109030075371265;0.2603186368942261;0.5052414536476135;0.2603186368942261
39;0.004593584220856428;0.001;0.04534253850579262;0.004593584220856428;0.2503899335861206;0.49530458450317383;0.2503899335861206
40;0.0033399369567632675;0.001;0.04643970727920532;0.0033399369567632675;0.29042404890060425;0.5343525409698486;0.29042404890060425
41;0.0037471442483365536;0.001;0.04932157322764397;0.0037471442483365536;0.304558128118515;0.547593355178833;0.304558128118515
42;0.005046657752245665;0.001;0.05538712069392204;0.005046657752245665;0.2736813426017761;0.5186831951141357;0.2736813426017761
43;0.0034148618578910828;0.001;0.045681633055210114;0.0034148618578910828;0.2611933946609497;0.5065343379974365;0.2611933946609497
44;0.005869197193533182;0.001;0.05942453816533089;0.005869197193533182;0.2790287137031555;0.5239513516426086;0.2790287137031555
45;0.003421470755711198;0.001;0.046448998153209686;0.003421470755711198;0.34587299823760986;0.5844078660011292;0.34587299823760986
46;0.0044249617494642735;0.001;0.04965813457965851;0.0044249617494642735;0.35043880343437195;0.5881481170654297;0.35043880343437195
47;0.004317722748965025;0.001;0.053377553820610046;0.004317722748965025;0.3533675968647003;0.5905115604400635;0.3533675968647003
48;0.00468462985008955;0.001;0.05154377967119217;0.00468462985008955;0.35960152745246887;0.5958698987960815;0.35960152745246887
49;0.003298869589343667;0.001;0.045671992003917694;0.003298869589343667;0.3692602217197418;0.6041259765625;0.3692602217197418
50;0.0033204909414052963;0.001;0.042070578783750534;0.0033204909414052963;0.34922701120376587;0.5874491930007935;0.34922701120376587
51;0.0037585117388516665;0.001;0.04501178488135338;0.0037585117388516665;0.32744157314300537;0.5685961246490479;0.32744157314300537
52;0.004190781153738499;0.001;0.04579172655940056;0.004190781153738499;0.33392736315727234;0.5744835734367371;0.33392736315727234
53;0.0018830143380910158;0.001;0.03226441144943237;0.0018830143380910158;0.319212943315506;0.5616810321807861;0.319212943315506
