epoch;loss;lr;mae;mse;val_loss;val_mae;val_mse
45;0.0020435117185115814;0.001;0.034569013863801956;0.0020435117185115814;0.7519705891609192;0.8660334348678589;0.7519705891609192
46;0.0023468025028705597;0.001;0.038100603967905045;0.0023468025028705597;0.7274337410926819;0.8515306115150452;0.7274337410926819
47;0.0015310589224100113;0.001;0.02986578270792961;0.0015310589224100113;0.7399847507476807;0.858914315700531;0.7399847507476807
48;0.0013597308425232768;0.001;0.02915792353451252;0.0013597308425232768;0.7029427886009216;0.8371375799179077;0.7029427886009216
49;0.0015506853815168142;0.001;0.031050905585289;0.0015506853815168142;0.6964919567108154;0.8333879709243774;0.6964919567108154
50;0.0017883869586512446;0.001;0.031880587339401245;0.0017883869586512446;0.6583430171012878;0.8101673722267151;0.6583430171012878
51;0.0019782823510468006;0.001;0.03547037020325661;0.0019782823510468006;0.6607801914215088;0.8116868734359741;0.6607801914215088
52;0.0015749523881822824;0.001;0.030744420364499092;0.0015749523881822824;0.6893068552017212;0.8290435671806335;0.6893068552017212
53;0.0015813710633665323;0.001;0.029819661751389503;0.0015813710633665323;0.608421266078949;0.7789468765258789;0.608421266078949
54;0.0015173421707004309;0.001;0.02989196591079235;0.0015173421707004309;0.5562119483947754;0.7448152303695679;0.5562119483947754
55;0.0016297175316140056;0.001;0.030628543347120285;0.0016297175316140056;0.5577207803726196;0.7459558248519897;0.5577207803726196
56;0.001335496548563242;0.001;0.02773451805114746;0.001335496548563242;0.5086132287979126;0.7121773362159729;0.5086132287979126
57;0.0011467615840956569;0.001;0.026122866198420525;0.0011467615840956569;0.47393009066581726;0.6874254941940308;0.47393009066581726
58;0.0013815987622365355;0.001;0.0288102850317955;0.0013815987622365355;0.4655277729034424;0.6814225316047668;0.4655277729034424
59;0.0012724037514999509;0.001;0.02741846814751625;0.0012724037514999509;0.38331279158592224;0.6181784868240356;0.38331279158592224
60;0.0012733134208247066;0.001;0.02710758149623871;0.0012733134208247066;0.32238924503326416;0.5669249296188354;0.32238924503326416
61;0.001177274389192462;0.001;0.026589082553982735;0.001177274389192462;0.28330716490745544;0.5314766764640808;0.28330716490745544
62;0.001047822181135416;0.001;0.024745160713791847;0.001047822181135416;0.19186922907829285;0.43690815567970276;0.19186922907829285
63;0.0010389607632532716;0.001;0.02483193390071392;0.0010389607632532716;0.09473356604576111;0.30643609166145325;0.09473356604576111
64;0.0011066589504480362;0.001;0.02599528431892395;0.0011066589504480362;0.11496339738368988;0.33781999349594116;0.11496339738368988
65;0.0011087819002568722;0.001;0.025941994041204453;0.0011087819002568722;0.06409621983766556;0.2516353130340576;0.06409621983766556
66;0.0012447175104171038;0.001;0.02745516411960125;0.0012447175104171038;0.0554799847304821;0.23403741419315338;0.0554799847304821
67;0.0011322330683469772;0.001;0.02520517073571682;0.0011322330683469772;0.04930971562862396;0.22044265270233154;0.04930971562862396
68;0.0012716163182631135;0.001;0.026957286521792412;0.0012716163182631135;0.0017252098768949509;0.034085024148225784;0.0017252098768949509
69;0.0012354726204648614;0.001;0.02622324787080288;0.0012354726204648614;0.0008010003948584199;0.023296870291233063;0.0008010003948584199
70;0.0010597007349133492;0.001;0.025615010410547256;0.0010597007349133492;0.0012282849056646228;0.028900204226374626;0.0012282849056646228
71;0.0009777449304237962;0.001;0.02457341179251671;0.0009777449304237962;0.0008781840442679822;0.0246988907456398;0.0008781840442679822
72;0.0013447473756968975;0.001;0.027515141293406487;0.0013447473756968975;0.0010325368493795395;0.02672402188181877;0.0010325368493795395
73;0.0013634994393214583;0.001;0.02787097729742527;0.0013634994393214583;0.000670598354190588;0.020493296906352043;0.000670598354190588
74;0.001341986353509128;0.001;0.02821177989244461;0.001341986353509128;0.0013744503958150744;0.031773414462804794;0.0013744503958150744
75;0.001154915546067059;0.001;0.02627338469028473;0.001154915546067059;0.0006813872023485601;0.020464729517698288;0.0006813872023485601
76;0.0009559387690387666;0.001;0.023821163922548294;0.0009559387690387666;0.0006612020661123097;0.020550908520817757;0.0006612020661123097
77;0.0009705096599645913;0.001;0.024011367931962013;0.0009705096599645913;0.0006926156347617507;0.02097068727016449;0.0006926156347617507
78;0.0008778974879533052;0.001;0.0232239942997694;0.0008778974879533052;0.0007284673629328609;0.021854786202311516;0.0007284673629328609
79;0.0007969607249833643;0.001;0.02170475386083126;0.0007969607249833643;0.0010426788358017802;0.026740433648228645;0.0010426788358017802
80;0.0010274698724970222;0.001;0.024211859330534935;0.0010274698724970222;0.0006566764204762876;0.019903335720300674;0.0006566764204762876
81;0.0010448634857311845;0.001;0.02495117485523224;0.0010448634857311845;0.0007881339406594634;0.022538410499691963;0.0007881339406594634
82;0.0012208109255880117;0.001;0.02580747753381729;0.0012208109255880117;0.0007229842012748122;0.021837102249264717;0.0007229842012748122
83;0.0013361104065552354;0.001;0.02781015634536743;0.0013361104065552354;0.0006851099897176027;0.02137865126132965;0.0006851099897176027
84;0.0009059493895620108;0.001;0.023638201877474785;0.0009059493895620108;0.0006894413381814957;0.020618047565221786;0.0006894413381814957
85;0.0011253496631979942;0.001;0.025426076725125313;0.0011253496631979942;0.0006820186972618103;0.020982272922992706;0.0006820186972618103
