epoch;accuracy;loss;lr;precision;val_accuracy;val_loss;val_precision
0;0.7383177280426025;0.6877632737159729;0.001;0.7777777910232544;0.3611111044883728;1.099653959274292;0.0
1;0.8971962332725525;0.3032481372356415;0.001;0.8999999761581421;0.3611111044883728;1.1947073936462402;0.3611111044883728
2;0.8738317489624023;0.31743088364601135;0.001;0.8904761672019958;0.3611111044883728;1.2750422954559326;0.3611111044883728
3;0.9439252614974976;0.19925928115844727;0.001;0.9439252614974976;0.3611111044883728;1.40379798412323;0.3611111044883728
4;0.9065420627593994;0.30607539415359497;0.001;0.9065420627593994;0.25;1.5942472219467163;0.25
5;0.9392523169517517;0.33657217025756836;0.001;0.9392523169517517;0.25;1.5122157335281372;0.25
6;0.9345794320106506;0.17536091804504395;0.001;0.9345794320106506;0.25;1.4800751209259033;0.25
7;0.9205607771873474;0.20483800768852234;0.001;0.9248826503753662;0.25;1.6211706399917603;0.25
8;0.9532710313796997;0.22842660546302795;0.001;0.9528301954269409;0.25;1.7754135131835938;0.25
9;0.9532710313796997;0.17466728389263153;0.001;0.9530516266822815;0.25;1.652970790863037;0.25
10;0.9392523169517517;0.16047550737857819;0.001;0.9392523169517517;0.25;2.1165666580200195;0.25
11;0.9626168012619019;0.13927297294139862;0.001;0.9626168012619019;0.25;2.1501548290252686;0.25
12;0.9252336621284485;0.2284165471792221;0.001;0.9295774698257446;0.25;2.5891873836517334;0.25
13;0.9579439163208008;0.15849050879478455;0.001;0.9579439163208008;0.25;2.2837347984313965;0.25
14;0.9532710313796997;0.1572614163160324;0.001;0.9620853066444397;0.25;3.319500684738159;0.25
15;0.9532710313796997;0.14356908202171326;0.001;0.9577465057373047;0.25;2.799024820327759;0.25
16;0.9672897458076477;0.10003239661455154;0.001;0.9716981053352356;0.25;2.381532669067383;0.25
17;0.9813084006309509;0.06794987618923187;0.001;0.9813084006309509;0.25;2.4351940155029297;0.25
18;0.9532710313796997;0.1732763797044754;0.001;0.9532710313796997;0.25;2.284891366958618;0.25
19;0.9626168012619019;0.10591011494398117;0.001;0.9624413251876831;0.3611111044883728;3.2047924995422363;0.3611111044883728
20;0.9719626307487488;0.08812180906534195;0.001;0.9719626307487488;0.3611111044883728;4.035500526428223;0.3611111044883728
21;0.9626168012619019;0.124692402780056;0.001;0.9671361446380615;0.3611111044883728;4.722677230834961;0.3611111044883728
22;0.9439252614974976;0.15973936021327972;0.001;0.9436619877815247;0.4444444477558136;1.5335432291030884;0.1875
23;0.9392523169517517;0.1471642702817917;0.001;0.948113203048706;0.25;2.4778833389282227;0.25
24;0.9392523169517517;0.14475594460964203;0.001;0.9392523169517517;0.2777777910232544;1.4790841341018677;0.29032257199287415
25;0.9485981464385986;0.14909133315086365;0.001;0.9485981464385986;0.3611111044883728;2.1680734157562256;0.3611111044883728
26;0.9579439163208008;0.11731292307376862;0.001;0.9624413251876831;0.3611111044883728;3.50339412689209;0.3611111044883728
27;0.9766355156898499;0.07328686118125916;0.001;0.9766355156898499;0.3611111044883728;4.2380146980285645;0.3611111044883728
28;0.9672897458076477;0.09614276885986328;0.001;0.9672897458076477;0.25;3.999711751937866;0.25
29;0.9719626307487488;0.1054847240447998;0.001;0.9719626307487488;0.25;4.49666690826416;0.25
30;0.9766355156898499;0.07361924648284912;0.001;0.9766355156898499;0.25;4.874223709106445;0.25
